n,time
8980,8
8990,15
9000,16
9010,12
9020,37
9030,6
9040,18
9050,91
9060,0
9070,12
9080,13
9090,34
9100,53
9110,62
9120,48
9130,11
9140,43
9150,139
9160,247
9170,228
9180,13
9190,48
9200,77
9210,15
9220,13
9230,92
9240,72
9250,327
9260,96
9270,19
9280,30
9290,13
9300,79
9310,109
9320,46
9330,220
9340,132
9350,36
9360,38
9370,35
9380,155
9390,100
9400,43
9410,136
9420,201
9430,10
9440,187
9450,97
9460,335
9470,80
9480,2
9490,30
9500,85
9510,14
9520,32
9530,302
9540,209
9550,44
9560,28
9570,4
9580,357
9590,20
9600,196
9610,28
9620,90
9630,5
9640,57
9650,50
9660,526
9670,97
9680,28
9690,10
9700,49
9710,1
9720,15
9730,3
9740,5
9750,158
9760,13
9770,24
9780,13
9790,24
9800,9
9810,243
9820,49
9830,63
9840,10
9850,23
9860,14
9870,102
9880,46
9890,116
9900,52
9910,56
9920,94
9930,68
9940,76
9950,43
9960,13
9970,128
9980,157
9990,277
10000,18
