n,time
11610,4
11620,129
11630,43
11640,50
11650,36
11660,7
11670,15
11680,8
11690,4
11700,5
11710,0
11720,1
11730,6
11740,32
11750,0
11760,45
11770,8
11780,29
11790,28
11800,32
11810,12
11820,15
11830,35
11840,22
11850,26
11860,13
11870,49
11880,9
11890,7
11900,1
11910,5
11920,17
11930,0
11940,85
11950,80
11960,51
11970,60
11980,16
11990,5
12000,63
12010,34
12020,90
12030,42
12040,33
12050,1
12060,59
12070,37
12080,0
12090,24
12100,3
12110,46
12120,30
12130,78
12140,26
12150,13
12160,6
12170,73
12180,192
12190,27
12200,36
12210,6
12220,27
12230,31
12240,0
12250,8
12260,13
12270,1
12280,16
12290,46
12300,42
12310,2
12320,21
12330,54
12340,2
12350,14
12360,6
12370,14
12380,27
12390,31
12400,9
12410,2
12420,80
12430,76
12440,37
12450,98
12460,6
12470,2
12480,48
12490,48
12500,17
12510,69
12520,42
12530,13
12540,38
12550,47
12560,6
12570,7
12580,39
12590,27
12600,36
12610,4
12620,9
12630,5
12640,4
12650,12
12660,16
12670,6
12680,5
12690,0
12700,59
12710,4
12720,67
12730,66
12740,14
12750,18
12760,23
12770,54
12780,26
12790,11
12800,30
12810,2
12820,16
12830,9
12840,6
12850,4
12860,26
12870,0
12880,9
12890,4
12900,1
12910,13
12920,20
12930,16
12940,4
12950,14
12960,27
12970,11
12980,43
12990,38
13000,76
13010,16
13020,61
13030,24
13040,49
13050,183
13060,23
13070,26
13080,16
13090,59
13100,6
13110,17
13120,9
13130,42
13140,63
13150,2
13160,14
13170,0
13180,43
13190,5
13200,72
13210,11
13220,129
13230,5
13240,86
13250,60
13260,24
13270,16
13280,30
13290,20
13300,7
13310,17
13320,25
13330,12
13340,6
13350,66
13360,21
13370,22
13380,58
13390,24
13400,2
13410,57
13420,19
13430,23
13440,32
13450,21
13460,38
13470,155
13480,47
13490,28
13500,49
13510,29
13520,51
13530,25
13540,23
13550,28
13560,36
13570,29
13580,9
13590,5
13600,53
13610,12
13620,37
13630,58
13640,97
13650,44
13660,114
13670,29
13680,98
13690,55
13700,45
13710,32
13720,28
13730,29
13740,2
13750,50
13760,16
13770,1
13780,13
13790,42
13800,20
13810,3
13820,44
13830,32
13840,156
13850,71
13860,48
13870,0
13880,14
13890,8
13900,5
13910,26
13920,30
13930,48
13940,10
13950,104
13960,78
13970,17
13980,8
13990,0
14000,30
14010,22
14020,39
14030,56
14040,54
14050,28
14060,6
14070,0
14080,6
14090,39
14100,34
14110,18
14120,4
14130,6
14140,49
14150,22
14160,4
14170,60
14180,74
14190,34
14200,74
14210,44
14220,0
14230,29
14240,17
14250,8
14260,45
14270,37
14280,38
14290,26
14300,1
14310,40
14320,42
14330,2
14340,14
14350,50
14360,47
14370,82
14380,1
14390,23
14400,40
14410,7
14420,32
14430,44
14440,191
14450,81
14460,1
14470,129
14480,34
14490,35
14500,21
14510,4
14520,14
14530,80
14540,67
14550,1
14560,28
14570,6
14580,11
14590,4
14600,23
14610,27
14620,34
14630,6
14640,57
14650,31
14660,43
14670,15
14680,24
14690,92
14700,18
14710,8
14720,43
14730,79
14740,101
14750,18
14760,23
14770,4
14780,22
14790,60
14800,11
14810,70
14820,49
14830,22
14840,27
14850,4
14860,94
14870,54
14880,21
14890,31
14900,6
14910,71
14920,4
14930,131
14940,2
14950,8
14960,0
14970,63
14980,35
14990,3
15000,185
15010,5
15020,26
15030,12
15040,2
15050,59
15060,1
15070,88
15080,42
15090,1
15100,24
15110,14
15120,48
15130,42
15140,6
15150,20
15160,14
15170,1
15180,50
15190,39
15200,22
15210,8
15220,41
15230,1
15240,56
15250,13
15260,37
15270,26
15280,8
15290,31
15300,55
15310,9
15320,15
15330,49
15340,4
15350,99
15360,67
15370,35
15380,17
15390,42
15400,29
15410,109
15420,19
15430,4
15440,85
15450,11
15460,4
15470,9
15480,50
15490,18
15500,6
15510,2
15520,4
15530,45
15540,37
15550,63
15560,3
15570,44
15580,54
15590,36
15600,129
15610,42
15620,24
15630,8
15640,26
15650,121
15660,1
15670,28
15680,17
15690,90
15700,8
15710,50
15720,15
15730,33
15740,17
15750,9
15760,21
15770,19
15780,44
15790,17
15800,49
15810,2
15820,19
15830,30
15840,57
15850,61
15860,140
15870,6
15880,14
15890,14
15900,47
15910,36
15920,11
15930,26
15940,95
15950,102
15960,56
15970,31
15980,6
15990,14
16000,8
16010,14
16020,4
16030,64
16040,17
16050,46
16060,8
16070,125
16080,84
16090,37
16100,3418
16110,44
16120,50
16130,0
16140,27
16150,2
16160,8
16170,31
16180,13
16190,19
16200,2
16210,73
16220,4
16230,4
16240,11
16250,6
16260,11
16270,61
16280,35
16290,10
16300,23
16310,109
16320,14
16330,6
16340,35
16350,30
16360,4
16370,30
16380,4
16390,27
16400,9
16410,19
16420,42
16430,5
16440,99
16450,43
16460,67
16470,81
16480,64
16490,38
16500,58
16510,24
16520,0
16530,18
16540,20
16550,17
16560,89
16570,19
16580,41
16590,24
16600,103
16610,13
16620,13
16630,83
16640,15
16650,35
16660,17
16670,11
16680,24
16690,17
16700,44
16710,19
16720,23
16730,12
16740,1
16750,49
16760,10
16770,29
16780,4
16790,1
16800,5
16810,0
16820,41
16830,51
16840,53
16850,37
16860,33
16870,20
16880,48
16890,25
